Year	Count	Cause	Size	
2000	11	Misuse of fire by a minor	E	
2000	4	Misuse of fire by a minor	F	
2000	0	Misuse of fire by a minor	G	
2000	225	Fireworks	A	
2000	181	Fireworks	B	
2000	35	Fireworks	C	
2000	11	Fireworks	D	
2000	3	Fireworks	E	
2000	1	Fireworks	F	
2000	1	Fireworks	G	
2000	813	Railroad operations and maintenance	A	
2000	1844	Railroad operations and maintenance	B	
2000	421	Railroad operations and maintenance	C	
2000	53	Railroad operations and maintenance	D	
2000	20	Railroad operations and maintenance	E	
2000	9	Railroad operations and maintenance	F	
2000	3	Railroad operations and maintenance	G	
2000	10	Firearms and explosives use	A	
2000	6	Firearms and explosives use	B	
2000	1	Firearms and explosives use	C	
2000	2	Firearms and explosives use	D	
2000	1	Firearms and explosives use	E	
2000	1	Firearms and explosives use	F	
2000	1	Firearms and explosives use	G	
2000	1136	Smoking	A	
2000	1634	Smoking	B	
2000	285	Smoking	C	
2000	22	Smoking	D	
2000	13	Smoking	E	
2000	8	Smoking	F	
2000	6	Smoking	G	
2001	3543	Arson/incendiarism	A	
2001	9519	Arson/incendiarism	B	
2001	3372	Arson/incendiarism	C	
2001	500	Arson/incendiarism	D	
2001	189	Arson/incendiarism	E	
2001	78	Arson/incendiarism	F	
2001	7	Arson/incendiarism	G	
2001	5398	Debris and open burning	A	
2001	14207	Debris and open burning	B	
2001	2255	Debris and open burning	C	
2001	136	Debris and open burning	D	
2001	49	Debris and open burning	E	
2001	21	Debris and open burning	F	
2001	5	Debris and open burning	G	
2001	197	Other causes	A	
2001	91	Other causes	B	
2001	8	Other causes	C	
2001	5	Other causes	D	
2001	3	Other causes	E	
2001	1	Other causes	F	
2001	0	Other causes	G	
2001	2214	Recreation and ceremony	A	
2001	1043	Recreation and ceremony	B	
2001	185	Recreation and ceremony	C	
2001	22	Recreation and ceremony	D	
